func_sexo;func_idade;func_racacor;func_escolaridade;func_uf;func_deficiencia;empresa_porte;empresa_setor;contrato_horastrabalho;contrato_salario;turnover_apos_1_ano
MASCULINO;24;SEM INFO;ANALFABETO-FUND_INCOMPLETO;RN;NAO;DE 20 A 49;Indústria;44;879,12;NAO
MASCULINO;25;SEM INFO;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;DE 10 A 19;Serviços;44;1523,34;SIM
MASCULINO;44;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;DE 10 A 19;Serviços;44;1145,18;NAO
MASCULINO;52;SEM INFO;SUPERIOR_COMPLETO;BA;NAO;1000 OU MAIS;Serviços;44;2237,44;NAO
FEMININO;34;PRETA-PARDA;MEDIO COMPLETO;SE;NAO;DE 10 A 19;Serviços;44;1005;NAO
MASCULINO;30;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;DE 20 A 49;Comércio;44;1373,83;NAO
FEMININO;44;AMARELA-BRANCA;MEDIO COMPLETO;PE;NAO;DE 10 A 19;Serviços;44;1720,96;SIM
FEMININO;21;SEM INFO;MEDIO COMPLETO;CE;NAO;1000 OU MAIS;Serviços;44;1144,33;NAO
FEMININO;28;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;1000 OU MAIS;Serviços;44;1028;NAO
MASCULINO;58;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 50 A 99;Agricultura;44;1132,27;NAO
FEMININO;41;AMARELA-BRANCA;MEDIO COMPLETO;PE;NAO;DE 5 A 9;Serviços;44;1642,61;SIM
MASCULINO;40;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;RN;NAO;DE 100 A 249;Indústria;44;2139,96;NAO
FEMININO;35;PRETA-PARDA;SUPERIOR_COMPLETO;PB;NAO;DE 20 A 49;Serviços;44;988,36;NAO
MASCULINO;26;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 250 A 499;Indústria;44;2206,14;SIM
FEMININO;27;AMARELA-BRANCA;SUPERIOR_COMPLETO;PB;NAO;DE 5 A 9;Comércio;30;2382,2;NAO
MASCULINO;26;SEM INFO;MEDIO COMPLETO;AL;NAO;ATE 4;Serviços;44;991,56;NAO
FEMININO;25;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;DE 10 A 19;Serviços;44;1644,41;SIM
MASCULINO;25;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 50 A 99;Indústria;44;997,99;NAO
FEMININO;31;PRETA-PARDA;SUPERIOR_INCOMPLETO;AL;NAO;DE 5 A 9;Serviços;44;2518,53;SIM
MASCULINO;21;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 50 A 99;Indústria;44;1252,57;NAO
FEMININO;30;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 10 A 19;Serviços;44;2049,69;SIM
FEMININO;36;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 50 A 99;Serviços;42;1728,48;SIM
FEMININO;48;SEM INFO;SUPERIOR_COMPLETO;BA;NAO;ATE 4;Indústria;44;2368,38;NAO
MASCULINO;28;AMARELA-BRANCA;FUND_COMPLETO-MEDIO_INCOMPLETO;RN;NAO;DE 10 A 19;Indústria;44;1017,84;NAO
MASCULINO;30;SEM INFO;MEDIO COMPLETO;CE;NAO;DE 5 A 9;Comércio;44;1259,44;NAO
MASCULINO;36;AMARELA-BRANCA;MEDIO COMPLETO;SE;NAO;DE 100 A 249;Construçao civil;44;1531,86;NAO
MASCULINO;39;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Serviços;44;1239,11;NAO
FEMININO;32;PRETA-PARDA;SUPERIOR_COMPLETO;PI;NAO;DE 100 A 249;Serviços;44;4042,05;SIM
FEMININO;23;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;PE;NAO;DE 10 A 19;Indústria;44;1090,04;NAO
MASCULINO;48;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;1000 OU MAIS;Construçao civil;44;5781,35;NAO
FEMININO;34;AMARELA-BRANCA;SUPERIOR_COMPLETO;RN;NAO;DE 500 A 999;Serviços;42;3444,56;SIM
FEMININO;42;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;1000 OU MAIS;Serviços;14;375,52;NAO
MASCULINO;30;SEM INFO;MEDIO COMPLETO;PE;NAO;ATE 4;Comércio;44;1705,19;SIM
MASCULINO;46;SEM INFO;MEDIO COMPLETO;AL;NAO;DE 5 A 9;Comércio;44;1030;NAO
MASCULINO;38;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Serviços;44;2253,21;SIM
MASCULINO;24;AMARELA-BRANCA;SUPERIOR_COMPLETO;PE;NAO;DE 5 A 9;Serviços;44;2329,01;NAO
MASCULINO;39;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;DE 250 A 499;Construçao civil;44;1640,71;NAO
MASCULINO;25;PRETA-PARDA;SUPERIOR_COMPLETO;BA;NAO;DE 100 A 249;Serviços;44;1500;NAO
FEMININO;20;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 50 A 99;Comércio;44;1731,9;SIM
FEMININO;22;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;ATE 4;Comércio;44;1011,85;NAO
FEMININO;24;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 20 A 49;Serviços;20;950,44;SIM
MASCULINO;23;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 5 A 9;Serviços;44;1200,68;NAO
FEMININO;24;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Comércio;44;4012,82;SIM
MASCULINO;26;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Serviços;26;2594,3;NAO
FEMININO;36;AMARELA-BRANCA;SUPERIOR_COMPLETO;CE;NAO;DE 5 A 9;Indústria;44;1418,31;NAO
FEMININO;36;AMARELA-BRANCA;MEDIO COMPLETO;RN;NAO;DE 50 A 99;Comércio;44;2493,63;SIM
MASCULINO;36;SEM INFO;MEDIO COMPLETO;PE;SIM;DE 100 A 249;Comércio;44;1109,25;NAO
MASCULINO;52;SEM INFO;MEDIO COMPLETO;PE;NAO;DE 5 A 9;Serviços;44;998,03;NAO
MASCULINO;22;SEM INFO;MEDIO COMPLETO;BA;NAO;ATE 4;Comércio;6;776,15;NAO
MASCULINO;23;AMARELA-BRANCA;MEDIO COMPLETO;RN;NAO;DE 20 A 49;Serviços;44;1301,47;NAO
MASCULINO;25;SEM INFO;MEDIO COMPLETO;SE;NAO;DE 10 A 19;Construçao civil;44;997,99;NAO
MASCULINO;33;SEM INFO;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;DE 50 A 99;Serviços;44;1406,22;NAO
MASCULINO;32;SEM INFO;SUPERIOR_COMPLETO;BA;NAO;DE 20 A 49;Serviços;8;812,07;NAO
MASCULINO;21;SEM INFO;MEDIO COMPLETO;PE;NAO;DE 10 A 19;Serviços;44;1320,11;NAO
MASCULINO;35;SEM INFO;MEDIO COMPLETO;SE;NAO;DE 5 A 9;Serviços;44;1000;NAO
FEMININO;26;SEM INFO;MEDIO COMPLETO;AL;NAO;DE 10 A 19;Comércio;44;915,57;NAO
FEMININO;44;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Serviços;44;1462,92;SIM
FEMININO;23;PRETA-PARDA;SUPERIOR_INCOMPLETO;PI;NAO;DE 50 A 99;Serviços;44;4468,58;SIM
FEMININO;32;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;DE 10 A 19;Serviços;44;2860;NAO
MASCULINO;42;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;PE;NAO;ATE 4;Construçao civil;44;1263,5;NAO
FEMININO;41;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 20 A 49;Serviços;36;1711,82;SIM
FEMININO;29;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Serviços;44;3634,06;SIM
FEMININO;25;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;DE 250 A 499;Comércio;44;2649,61;SIM
FEMININO;47;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 100 A 249;Serviços;44;1625,13;SIM
MASCULINO;37;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Serviços;44;1542,4;SIM
MASCULINO;57;AMARELA-BRANCA;MEDIO COMPLETO;RN;NAO;DE 10 A 19;Serviços;44;1473,38;SIM
MASCULINO;25;AMARELA-BRANCA;MEDIO COMPLETO;PB;NAO;DE 50 A 99;Serviços;36;1147,47;NAO
MASCULINO;42;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;DE 500 A 999;Serviços;44;2495,65;SIM
FEMININO;22;SEM INFO;MEDIO COMPLETO;PB;NAO;ATE 4;Serviços;44;999,98;NAO
FEMININO;22;PRETA-PARDA;MEDIO COMPLETO;PI;NAO;DE 5 A 9;Serviços;44;1039,99;NAO
FEMININO;42;PRETA-PARDA;MEDIO COMPLETO;RN;NAO;DE 5 A 9;Serviços;44;1728,29;SIM
MASCULINO;40;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;PE;NAO;1000 OU MAIS;Indústria;40;1454,03;SIM
FEMININO;19;AMARELA-BRANCA;MEDIO COMPLETO;PE;NAO;1000 OU MAIS;Serviços;36;1428,38;SIM
FEMININO;40;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Serviços;44;940,38;NAO
MASCULINO;26;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 100 A 249;Comércio;44;1050;NAO
FEMININO;23;SEM INFO;MEDIO COMPLETO;SE;NAO;DE 10 A 19;Indústria;44;998;NAO
MASCULINO;46;AMARELA-BRANCA;SUPERIOR_COMPLETO;CE;NAO;DE 20 A 49;Serviços;18;1779,64;SIM
MASCULINO;25;AMARELA-BRANCA;MEDIO COMPLETO;PE;NAO;DE 20 A 49;Comércio;44;1040;NAO
FEMININO;26;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Comércio;44;2344,27;SIM
FEMININO;35;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;PI;NAO;1000 OU MAIS;Serviços;44;1704,09;SIM
FEMININO;28;AMARELA-BRANCA;MEDIO COMPLETO;PI;NAO;ATE 4;Serviços;44;1034;NAO
FEMININO;30;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Serviços;44;983,17;NAO
MASCULINO;23;PRETA-PARDA;MEDIO COMPLETO;PI;NAO;DE 10 A 19;Serviços;44;1008,6;NAO
MASCULINO;36;SEM INFO;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;SIM;DE 100 A 249;Construçao civil;44;1133,99;NAO
MASCULINO;38;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 500 A 999;Construçao civil;44;2386,63;NAO
MASCULINO;23;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Serviços;44;1506,22;NAO
MASCULINO;37;SEM INFO;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;DE 50 A 99;Comércio;44;1622,55;NAO
MASCULINO;31;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 50 A 99;Serviços;44;998;NAO
MASCULINO;46;AMARELA-BRANCA;MEDIO COMPLETO;BA;NAO;DE 50 A 99;Comércio;44;998;NAO
FEMININO;39;PRETA-PARDA;SUPERIOR_COMPLETO;BA;NAO;DE 5 A 9;Serviços;16;998;NAO
MASCULINO;23;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 5 A 9;Serviços;44;987,31;NAO
FEMININO;27;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 500 A 999;Serviços;44;1235,25;NAO
MASCULINO;27;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;ATE 4;Comércio;44;1401,44;NAO
FEMININO;43;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;DE 50 A 99;Serviços;17;1361,01;SIM
FEMININO;48;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;SE;NAO;DE 250 A 499;Serviços;20;503,44;NAO
FEMININO;24;SEM INFO;MEDIO COMPLETO;RN;NAO;DE 20 A 49;Indústria;44;1002,99;NAO
MASCULINO;36;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 50 A 99;Construçao civil;44;495,47;NAO
MASCULINO;41;AMARELA-BRANCA;SUPERIOR_COMPLETO;CE;NAO;DE 20 A 49;Serviços;44;2006,4;NAO
MASCULINO;20;SEM INFO;MEDIO COMPLETO;PB;NAO;DE 10 A 19;Comércio;44;1768,15;SIM
FEMININO;32;AMARELA-BRANCA;SUPERIOR_COMPLETO;SE;NAO;1000 OU MAIS;Serviços;28;1155,23;NAO
FEMININO;31;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;DE 100 A 249;Comércio;36;1036,92;NAO
MASCULINO;22;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;DE 100 A 249;Comércio;44;1848;SIM
MASCULINO;24;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Serviços;36;1684,25;SIM
MASCULINO;29;SEM INFO;MEDIO COMPLETO;PI;NAO;DE 20 A 49;Serviços;44;1941,84;NAO
FEMININO;26;PRETA-PARDA;SUPERIOR_INCOMPLETO;BA;NAO;DE 5 A 9;Serviços;44;998;NAO
MASCULINO;22;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 250 A 499;Serviços;36;910,99;NAO
FEMININO;29;PRETA-PARDA;SUPERIOR_INCOMPLETO;RN;NAO;DE 100 A 249;Serviços;44;1366,46;NAO
MASCULINO;33;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 500 A 999;Serviços;44;1852,83;NAO
FEMININO;24;SEM INFO;SUPERIOR_INCOMPLETO;AL;NAO;DE 5 A 9;Comércio;36;1166,3;NAO
MASCULINO;37;AMARELA-BRANCA;MEDIO COMPLETO;MA;NAO;DE 10 A 19;Serviços;44;3835,61;SIM
MASCULINO;22;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Serviços;44;1204,3;NAO
MASCULINO;43;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 100 A 249;Construçao civil;44;2148,54;SIM
MASCULINO;30;PRETA-PARDA;MEDIO COMPLETO;BA;SIM;DE 500 A 999;Indústria;44;2139,82;SIM
MASCULINO;36;PRETA-PARDA;SUPERIOR_COMPLETO;BA;NAO;DE 20 A 49;Serviços;20;1733,15;SIM
FEMININO;49;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;1000 OU MAIS;Serviços;44;8214,33;SIM
MASCULINO;26;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;PE;NAO;ATE 4;Comércio;44;1090,05;NAO
MASCULINO;56;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;PE;NAO;1000 OU MAIS;Serviços;38;1657,08;SIM
MASCULINO;26;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;1000 OU MAIS;Serviços;30;1461,06;NAO
MASCULINO;30;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;DE 250 A 499;Serviços;44;1951,04;SIM
MASCULINO;24;SEM INFO;MEDIO COMPLETO;MA;NAO;DE 250 A 499;Serviços;44;1376,45;SIM
MASCULINO;22;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Serviços;30;797,2;NAO
FEMININO;61;AMARELA-BRANCA;MEDIO COMPLETO;PE;NAO;DE 5 A 9;Serviços;40;1790,89;SIM
FEMININO;30;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Serviços;34;817,5;NAO
MASCULINO;37;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Indústria;44;2754,33;NAO
MASCULINO;49;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;ATE 4;Construçao civil;44;4485,52;SIM
MASCULINO;26;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;1000 OU MAIS;Serviços;36;871,32;NAO
MASCULINO;30;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Comércio;44;999,99;NAO
MASCULINO;21;SEM INFO;MEDIO COMPLETO;BA;NAO;ATE 4;Serviços;44;1058,88;NAO
MASCULINO;41;AMARELA-BRANCA;SUPERIOR_COMPLETO;PE;NAO;DE 100 A 249;Serviços;22;2346,44;SIM
MASCULINO;23;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Serviços;44;1060,1;NAO
MASCULINO;33;AMARELA-BRANCA;MEDIO COMPLETO;RN;NAO;ATE 4;Serviços;44;1500;NAO
FEMININO;55;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;ATE 4;Serviços;44;1058,62;NAO
MASCULINO;30;AMARELA-BRANCA;SUPERIOR_COMPLETO;RN;NAO;DE 250 A 499;Serviços;44;1039,58;NAO
MASCULINO;35;SEM INFO;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;ATE 4;Serviços;44;1304,5;NAO
MASCULINO;28;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Comércio;44;998;NAO
MASCULINO;41;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 50 A 99;Serviços;44;1590,25;SIM
MASCULINO;38;AMARELA-BRANCA;SUPERIOR_COMPLETO;RN;NAO;DE 50 A 99;Serviços;2;522,06;NAO
MASCULINO;24;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;MA;NAO;DE 20 A 49;Construçao civil;44;699,05;NAO
MASCULINO;53;SEM INFO;ANALFABETO-FUND_INCOMPLETO;AL;NAO;ATE 4;Agricultura;44;1029,6;NAO
FEMININO;25;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Comércio;44;1083,45;NAO
MASCULINO;51;SEM INFO;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;DE 100 A 249;Serviços;44;2411,85;NAO
FEMININO;31;PRETA-PARDA;MEDIO COMPLETO;PB;NAO;DE 500 A 999;Serviços;41;1313,31;NAO
MASCULINO;46;SEM INFO;MEDIO COMPLETO;PE;NAO;DE 5 A 9;Comércio;44;3729,27;NAO
FEMININO;34;PRETA-PARDA;MEDIO COMPLETO;RN;NAO;DE 50 A 99;Comércio;44;797,44;NAO
MASCULINO;27;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 500 A 999;Indústria;0;1207,84;NAO
FEMININO;28;PRETA-PARDA;MEDIO COMPLETO;PI;NAO;1000 OU MAIS;Serviços;36;889,64;NAO
MASCULINO;27;AMARELA-BRANCA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 5 A 9;Comércio;44;1241,15;NAO
MASCULINO;31;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;1000 OU MAIS;Serviços;44;1969,42;SIM
MASCULINO;41;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 10 A 19;Comércio;44;1086,16;NAO
MASCULINO;40;AMARELA-BRANCA;MEDIO COMPLETO;PE;NAO;DE 10 A 19;Comércio;44;2297,63;NAO
FEMININO;30;PRETA-PARDA;SUPERIOR_COMPLETO;BA;NAO;DE 20 A 49;Comércio;44;8656,75;SIM
MASCULINO;29;SEM INFO;MEDIO COMPLETO;PE;NAO;DE 20 A 49;Comércio;44;2057,5;SIM
MASCULINO;19;SEM INFO;MEDIO COMPLETO;CE;NAO;DE 250 A 499;Agricultura;0;661,4;NAO
MASCULINO;28;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 50 A 99;Serviços;24;2622,77;SIM
MASCULINO;37;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;ATE 4;Serviços;44;2564,19;SIM
FEMININO;34;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 20 A 49;Serviços;40;6878,52;SIM
MASCULINO;26;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;PE;NAO;DE 20 A 49;Comércio;44;1235,37;NAO
FEMININO;61;AMARELA-BRANCA;SUPERIOR_INCOMPLETO;AL;NAO;ATE 4;Comércio;44;2536,8;SIM
MASCULINO;42;PRETA-PARDA;MEDIO COMPLETO;SE;NAO;DE 500 A 999;Construçao civil;44;4327,39;NAO
MASCULINO;65;SEM INFO;SUPERIOR_COMPLETO;CE;NAO;ATE 4;Agricultura;44;6368,27;SIM
MASCULINO;30;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 50 A 99;Comércio;44;1282,02;NAO
MASCULINO;40;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;ATE 4;Comércio;44;1031,27;NAO
MASCULINO;20;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;PI;NAO;DE 20 A 49;Serviços;36;1589,94;SIM
FEMININO;36;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Serviços;36;1752,64;SIM
MASCULINO;33;PRETA-PARDA;SUPERIOR_INCOMPLETO;RN;NAO;DE 20 A 49;Serviços;36;2847,68;SIM
MASCULINO;36;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;DE 250 A 499;Serviços;40;3231,2;SIM
FEMININO;30;AMARELA-BRANCA;SUPERIOR_COMPLETO;PE;SIM;DE 100 A 249;Serviços;24;9544,77;NAO
FEMININO;30;AMARELA-BRANCA;SUPERIOR_COMPLETO;CE;NAO;DE 10 A 19;Comércio;44;1825,71;NAO
MASCULINO;19;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Serviços;44;1125,97;NAO
MASCULINO;20;AMARELA-BRANCA;MEDIO COMPLETO;MA;NAO;ATE 4;Agricultura;44;1454,98;NAO
MASCULINO;23;AMARELA-BRANCA;SUPERIOR_INCOMPLETO;CE;NAO;DE 5 A 9;Serviços;44;1971,24;SIM
FEMININO;29;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Comércio;44;1130,66;NAO
MASCULINO;27;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;ATE 4;Indústria;44;1858,76;SIM
MASCULINO;29;PRETA-PARDA;SUPERIOR_COMPLETO;BA;NAO;DE 500 A 999;Serviços;44;2109,03;NAO
MASCULINO;32;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 20 A 49;Serviços;24;426,79;NAO
MASCULINO;20;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 500 A 999;Comércio;44;901,63;NAO
MASCULINO;30;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Construçao civil;44;2278,64;NAO
FEMININO;32;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;1000 OU MAIS;Serviços;36;1362,78;NAO
MASCULINO;24;SEM INFO;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;DE 50 A 99;Serviços;44;1071,94;NAO
MASCULINO;42;PRETA-PARDA;MEDIO COMPLETO;RN;NAO;DE 10 A 19;Serviços;44;1359,2;NAO
FEMININO;36;SEM INFO;SUPERIOR_COMPLETO;PE;NAO;DE 20 A 49;Serviços;44;1231,58;NAO
MASCULINO;22;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 100 A 249;Serviços;44;2202,64;SIM
FEMININO;38;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 50 A 99;Serviços;44;1131,07;NAO
FEMININO;30;SEM INFO;SUPERIOR_COMPLETO;BA;NAO;ATE 4;Serviços;44;1500;NAO
FEMININO;25;SEM INFO;MEDIO COMPLETO;MA;NAO;ATE 4;Comércio;44;1148,7;NAO
FEMININO;50;AMARELA-BRANCA;MEDIO COMPLETO;BA;NAO;DE 500 A 999;Serviços;36;1579,11;NAO
MASCULINO;52;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;PB;NAO;DE 100 A 249;Serviços;44;1584,27;SIM
FEMININO;24;AMARELA-BRANCA;SUPERIOR_INCOMPLETO;SE;NAO;DE 20 A 49;Serviços;44;1704;NAO
MASCULINO;48;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;AL;NAO;1000 OU MAIS;Indústria;44;1129,45;NAO
FEMININO;19;PRETA-PARDA;SUPERIOR_INCOMPLETO;AL;NAO;DE 50 A 99;Comércio;44;1003,49;NAO
FEMININO;43;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 500 A 999;Serviços;44;1210,98;NAO
MASCULINO;29;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;SIM;1000 OU MAIS;Construçao civil;44;1248,17;NAO
FEMININO;29;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Comércio;44;1437,13;SIM
FEMININO;24;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;DE 500 A 999;Indústria;44;1037,23;NAO
MASCULINO;25;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Serviços;44;994,85;NAO
MASCULINO;41;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;PB;NAO;DE 100 A 249;Serviços;44;1985,09;SIM
MASCULINO;38;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Indústria;44;2278,57;NAO
FEMININO;26;AMARELA-BRANCA;SUPERIOR_COMPLETO;BA;NAO;DE 50 A 99;Serviços;44;3800,32;NAO
MASCULINO;35;SEM INFO;MEDIO COMPLETO;CE;NAO;DE 250 A 499;Indústria;44;2806,5;SIM
FEMININO;22;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 250 A 499;Comércio;44;874,09;NAO
FEMININO;38;PRETA-PARDA;MEDIO COMPLETO;RN;NAO;ATE 4;Serviços;36;1179,29;NAO
MASCULINO;24;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;DE 10 A 19;Serviços;44;998;NAO
FEMININO;28;PRETA-PARDA;MEDIO COMPLETO;SE;NAO;ATE 4;Comércio;44;1092,95;NAO
MASCULINO;38;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;PI;NAO;DE 20 A 49;Serviços;44;1200;NAO
MASCULINO;35;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;1000 OU MAIS;Serviços;44;1633,45;SIM
MASCULINO;37;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Construçao civil;44;1919,94;NAO
MASCULINO;32;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Comércio;44;1635,34;NAO
MASCULINO;29;PRETA-PARDA;MEDIO COMPLETO;SE;NAO;DE 100 A 249;Serviços;44;1663,72;NAO
FEMININO;18;AMARELA-BRANCA;MEDIO COMPLETO;CE;NAO;DE 100 A 249;Serviços;44;1140,15;NAO
MASCULINO;25;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;ATE 4;Agricultura;44;1071,12;NAO
MASCULINO;39;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;PE;NAO;DE 100 A 249;Construçao civil;44;1276,25;NAO
FEMININO;40;AMARELA-BRANCA;MEDIO COMPLETO;PB;NAO;DE 10 A 19;Comércio;44;2900,17;SIM
MASCULINO;34;PRETA-PARDA;MEDIO COMPLETO;PB;NAO;DE 100 A 249;Construçao civil;1;1055,67;NAO
MASCULINO;34;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;ATE 4;Serviços;44;1479,99;NAO
MASCULINO;52;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;DE 500 A 999;Serviços;44;2527,8;NAO
